system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GCVI,Label,MNDWI,NDBI,NDVI,NDWI,.geo
55_0,342.5,941.0,761.0,620.0,799.0,775.5,693.0,678.5,758.0,1287.0,801.0,1468.5,0.9905112316034081,0.6107634543178975,Water,-0.0816092,-0.15529624,0.248,-0.23394056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.772268753966306,50.06315569974514]}"
56_0,350.0,966.0,707.0,628.0,855.0,742.0,775.0,735.0,911.0,1531.0,963.0,1195.0,1.5482731554160125,0.7906432748538013,Water,-0.06095552,-0.22627153,0.34711835,-0.28331935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.358599139911117,49.102227840322485]}"
57_0,299.0,143.0,82.0,432.0,565.0,334.0,258.0,178.0,179.0,161.0,173.0,116.0,0.4027001862197393,-0.7150442477876107,Water,0.5960452,-0.059210528,-0.34949496,0.55647385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.38860287040071,49.70930930933046]}"
58_0,327.0,118.0,71.0,421.0,502.0,238.0,205.0,163.0,174.0,152.0,163.0,139.0,0.1363780526482715,-0.6972111553784861,Water,0.61935484,-0.12592593,-0.22051282,0.5351682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.360485602007769,49.1038448078339]}"
59_0,333.0,92.0,74.0,385.0,499.0,251.0,184.0,117.0,128.0,130.0,112.0,527.0,0.2419032387045182,-0.7394789579158316,Water,0.6886633,-0.17117117,-0.3175853,0.5866455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.368570439564845,49.137531630988384]}"
60_0,165.0,119.0,87.0,158.0,179.0,91.0,87.0,98.0,115.0,109.0,124.0,64.0,-0.08506616257088846,-0.3910614525139665,Water,0.20134228,0.04385965,0.09,0.24305555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.294998417795455,49.090100583986874]}"
61_0,134.5,98.5,63.0,172.0,198.0,122.5,97.0,83.0,93.5,95.0,93.0,169.0,0.1497821350762527,-0.5202020202020202,Water,0.33558178,0.018087855,-0.12643678,0.35153583,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.945279703405874,49.8666941471082]}"
62_0,242.0,80.5,66.0,363.5,522.0,327.0,253.0,115.0,141.5,120.0,118.0,80.0,0.8045083560046639,-0.7701149425287357,Water,0.7327801,-0.19700748,-0.46308726,0.62616825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.535383013543988,50.42149366658042]}"
63_0,228.0,97.5,49.5,275.5,380.0,174.5,170.5,146.0,162.5,161.5,174.0,562.5,0.03793405310767435,-0.575,Water,0.591623,-0.24710424,-0.038690478,0.40350878,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.489124350693684,49.3646257348138]}"
64_0,332.0,102.0,88.0,425.0,482.0,151.0,124.0,84.0,123.0,90.0,83.0,49.0,0.06961880849121205,-0.8132780082987552,Water,0.65068495,0.0625,-0.25311205,0.6853147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.443130608146765,49.407655036923124]}"
